rank,label,meanScore,stdScore,p50Score,meanAvgMs,p90AvgMs,meanRpc,meanCompleteness,minScore,maxScore
1,V4 PRIME,0.6246,0.0698,0.5871,1620.3,1703.2,16,1,0.5436,0.7312
2,V10 Bayesian,0.5963,0.0921,0.5127,1717.6,1950.5,18,1,0.4979,0.7054
3,V11 Bayesian,0.5955,0.0458,0.5649,1688.4,1770.3,29.8,1,0.5639,0.6741
4,V4 Bayesian,0.5768,0.0605,0.5697,1753.5,1755.4,16,1,0.4882,0.6575
5,V3 PRIME,0.5584,0.0701,0.5331,1817.1,1875.8,26,1,0.4816,0.6723
6,V3 Bayesian,0.3955,0.1139,0.4004,2829.2,2497.7,22,1,0.2154,0.5286
7,V8 Bayesian,0.3699,0.0146,0.3595,2707.6,2781.3,21,1,0.3516,0.3854
8,V2 Bayesian,0.3506,0.0473,0.3614,2913.7,2767.4,16,1,0.2705,0.3865
9,Codex blockTime BO,0.2489,0.0528,0.2506,4240.8,3991,214,1,0.1662,0.3123
10,Codex blockTime default,0.2008,0.0504,0.186,5297,5376.1,127,1,0.1382,0.2784
11,V2 Codex SA,0.199,0.1111,0.0937,7272.6,10674.5,18,1,0.0839,0.3283
